address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,listing_time,list_url,date_scraped
Hickory Plan,,,,"$550,000",3,3,"2,466",33.795906,-84.455986,New construction,2064172539,Open: M: 1:00 PM-5:00 P...,https://www.zillow.com/community/west-highlands/2064172539_zpid/,06-10-2022_18:57:36
2029 Detroit Ave NW,Atlanta,GA,30314,"$334,900",3,2,"1,326",33.767326,-84.45355,House for sale,35855798,Price cut: $99 (Jun 9),https://www.zillow.com/homedetails/2029-Detroit-Ave-NW-Atlanta-GA-30314/35855798_zpid/,06-10-2022_18:57:36
3481 Lakeside Dr NE APT 2501,Atlanta,GA,30326,"$230,000",1,1,950,33.849083,-84.35714,Condo for sale,2063065987,12 days on Zillow,https://www.zillow.com/homedetails/3481-Lakeside-Dr-NE-APT-2501-Atlanta-GA-30326/2063065987_zpid/,06-10-2022_18:57:36
993 N Ave NE,Atlanta,GA,30306,"$665,000",3,2,"1,380",33.771458,-84.35631,House for sale,35847684,13 days on Zillow,https://www.zillow.com/homedetails/993-N-Ave-NE-Atlanta-GA-30306/35847684_zpid/,06-10-2022_18:57:36
4249 Olde Mill Ln NE,Atlanta,GA,30342,"$1,699,000",4,5,"6,759",33.870243,-84.37506,House for sale,65442522,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/4249-Olde-Mill-Ln-NE-Atlanta-GA-30342/65442522_zpid/,06-10-2022_18:57:36
426 Marietta St NW APT 410,Atlanta,GA,30313,"$290,000",1,1,900,33.76456,-84.39765,Condo for sale,82621722,13 days on Zillow,https://www.zillow.com/homedetails/426-Marietta-St-NW-APT-410-Atlanta-GA-30313/82621722_zpid/,06-10-2022_18:57:36
3013 Delmar Ln NW,Atlanta,GA,30311,"$125,000",2,1,980,33.75606,-84.485596,House for sale,35870704,14 days on Zillow,https://www.zillow.com/homedetails/3013-Delmar-Ln-NW-Atlanta-GA-30311/35870704_zpid/,06-10-2022_18:57:36
1393 Boat Rock Rd SW,Atlanta,GA,30331,"$669,900",8,7,"7,882",33.717377,-84.560555,House for sale,35892160,14 days on Zillow,https://www.zillow.com/homedetails/1393-Boat-Rock-Rd-SW-Atlanta-GA-30331/35892160_zpid/,06-10-2022_18:57:36
2547 Etheridge Dr NW,Atlanta,GA,30318,"$99,000",,,,33.788334,-84.47128,Lot / Land for sale,35923100,Price cut: $900 (May 27),https://www.zillow.com/homedetails/2547-Etheridge-Dr-NW-Atlanta-GA-30318/35923100_zpid/,06-10-2022_18:57:36
418 9th St NE,Atlanta,GA,30309,"$2,499,900",5,6,--,33.78083,-84.3735,New construction,35931307,14 days on Zillow,https://www.zillow.com/homedetails/418-9th-St-NE-Atlanta-GA-30309/35931307_zpid/,06-10-2022_18:57:36
3552 Oakshire Way SE,Atlanta,GA,30354,"$395,000",5,3,--,33.65574,-84.35149,House for sale,82612056,14 days on Zillow,https://www.zillow.com/homedetails/3552-Oakshire-Way-SE-Atlanta-GA-30354/82612056_zpid/,06-10-2022_18:57:36
424 Greencove Ln,Atlanta,GA,30316,"$744,900",4,3,"2,600",33.742306,-84.333046,House for sale,14456756,"Price cut: $10,000 (Jun 6)",https://www.zillow.com/homedetails/424-Greencove-Ln-Atlanta-GA-30316/14456756_zpid/,06-10-2022_18:57:36
1094 Regent St SW,Atlanta,GA,30310,"$397,000",5,3,"2,200",33.70032,-84.424774,House for sale,35837404,15 days on Zillow,https://www.zillow.com/homedetails/1094-Regent-St-SW-Atlanta-GA-30310/35837404_zpid/,06-10-2022_18:57:36
1146 Ira St SW,Atlanta,GA,30310,"$3,249,900",4,3,"1,386",33.72366,-84.3998,House for sale,65441912,15 days on Zillow,https://www.zillow.com/homedetails/1146-Ira-St-SW-Atlanta-GA-30310/65441912_zpid/,06-10-2022_18:57:36
400 17th St NW UNIT 1223,Atlanta,GA,30363,"$350,000",3,2,"1,450",33.789207,-84.402084,Condo for sale,2077377967,15 days on Zillow,https://www.zillow.com/homedetails/400-17th-St-NW-UNIT-1223-Atlanta-GA-30363/2077377967_zpid/,06-10-2022_18:57:36
337 Enota Pl SW,Atlanta,GA,30310,"$310,000",3,2,971,33.746025,-84.43427,House for sale,35842475,"Price cut: $46,500 (May 26)",https://www.zillow.com/homedetails/337-Enota-Pl-SW-Atlanta-GA-30310/35842475_zpid/,06-10-2022_18:57:36
751 Piedmont Ave NE APT 12,Atlanta,GA,30308,"$519,000",2,3,922,33.775215,-84.38108,Townhouse for sale,2063136229,16 days on Zillow,https://www.zillow.com/homedetails/751-Piedmont-Ave-NE-APT-12-Atlanta-GA-30308/2063136229_zpid/,06-10-2022_18:57:36
136 Vanira Ave SE,Atlanta,GA,30315,"$600,000",4,3,"2,400",33.729645,-84.383545,House for sale,35882538,Open: Sun. 2-5pm,https://www.zillow.com/homedetails/136-Vanira-Ave-SE-Atlanta-GA-30315/35882538_zpid/,06-10-2022_18:57:36
211 Howell Dr SE #B,Atlanta,GA,30316,"$749,900",3,3,"1,819",,,New construction,2063152514,16 days on Zillow,https://www.zillow.com/homedetails/211-Howell-Dr-SE-B-Atlanta-GA-30316/2063152514_zpid/,06-10-2022_18:57:36
745 Fountainhead Ln NE UNIT 120,Atlanta,GA,30324,"$550,000",4,4,"2,540",33.81846,-84.36453,Townhouse for sale,2063092131,16 days on Zillow,https://www.zillow.com/homedetails/745-Fountainhead-Ln-NE-UNIT-120-Atlanta-GA-30324/2063092131_zpid/,06-10-2022_18:57:36
2660 Peachtree Rd NW APT 22H,Atlanta,GA,30305,"$1,649,000",3,3,"3,206",33.82747,-84.38817,Condo for sale,2067437154,"Price cut: $31,000 (May 25)",https://www.zillow.com/homedetails/2660-Peachtree-Rd-NW-APT-22H-Atlanta-GA-30305/2067437154_zpid/,06-10-2022_18:57:36
2970 Layton Ave NW,Atlanta,GA,30318,"$499,000",2,2,"1,368",33.809574,-84.48374,House for sale,35924007,16 days on Zillow,https://www.zillow.com/homedetails/2970-Layton-Ave-NW-Atlanta-GA-30318/35924007_zpid/,06-10-2022_18:57:36
3825 Vermont Rd NE,Atlanta,GA,30319,"$6,475,000",7,9,"9,455",33.85982,-84.355515,New construction,246521553,16 days on Zillow,https://www.zillow.com/homedetails/3825-Vermont-Rd-NE-Atlanta-GA-30319/246521553_zpid/,06-10-2022_18:57:36
1689 Derry Ave SW,Atlanta,GA,30310,"$569,999",4,4,"2,268",33.743748,-84.443016,House for sale,35846706,"Price cut: $30,001 (Jun 2)",https://www.zillow.com/homedetails/1689-Derry-Ave-SW-Atlanta-GA-30310/35846706_zpid/,06-10-2022_18:57:36
277 W Lake Ave NW,Atlanta,GA,30314,"$279,000",-,-,--,33.76222,-84.4408,Multi-family home for sale,35846372,18 days on Zillow,https://www.zillow.com/homedetails/277-W-Lake-Ave-NW-Atlanta-GA-30314/35846372_zpid/,06-10-2022_18:57:36
204 Camden Rd NE,Atlanta,GA,30309,"$1,599,000",4,4,"3,908",33.809307,-84.387314,House for sale,35897337,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/204-Camden-Rd-NE-Atlanta-GA-30309/35897337_zpid/,06-10-2022_18:57:36
