address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
101 Laura Ave,Old Hickory,TN,37138,"$524,900",4,4,"2,539",36.23457,-86.63215,Coming soon,https://www.zillow.com/homedetails/101-Laura-Ave-Old-Hickory-TN-37138/41078248_zpid/,06-23-2022_21:37:39
1211B Keller Ave,Nashville,TN,37216,"$675,000",3,3,"2,041",36.203587,-86.73355,Coming soon,https://www.zillow.com/homedetails/1211B-Keller-Ave-Nashville-TN-37216/307238033_zpid/,06-23-2022_21:37:39
116 31st Ave N APT 306,Nashville,TN,37203,"$360,000",1,2,"1,030",36.143806,-86.816154,Coming soon,https://www.zillow.com/homedetails/116-31st-Ave-N-APT-306-Nashville-TN-37203/59887821_zpid/,06-23-2022_21:37:39
238 Ridgeway Dr,Nashville,TN,37214,"$375,000",3,1,"1,129",36.163994,-86.679886,Coming soon,https://www.zillow.com/homedetails/238-Ridgeway-Dr-Nashville-TN-37214/41119632_zpid/,06-23-2022_21:37:39
1725 S Hamilton Rd,Nashville,TN,37218,"$649,900",4,2,"2,200",36.190216,-86.83512,House for sale,https://www.zillow.com/homedetails/1725-S-Hamilton-Rd-Nashville-TN-37218/41095318_zpid/,06-23-2022_21:37:39
2312 Seifried St,Nashville,TN,37208,"$480,000",3,3,"1,471",36.18253,-86.81555,House for sale,https://www.zillow.com/homedetails/2312-Seifried-St-Nashville-TN-37208/41096757_zpid/,06-23-2022_21:37:39
124 Creighton Ave,Nashville,TN,37206,"$699,900",3,4,"2,326",36.19112,-86.73143,House for sale,https://www.zillow.com/homedetails/124-Creighton-Ave-Nashville-TN-37206/41102267_zpid/,06-23-2022_21:37:39
2216 Mecca Dr,Nashville,TN,37214,"$455,000",3,1,"1,360",36.1782,-86.69092,House for sale,https://www.zillow.com/homedetails/2216-Mecca-Dr-Nashville-TN-37214/41106875_zpid/,06-23-2022_21:37:39
2430 Maplecrest Dr,Nashville,TN,37214,"$465,000",3,2,"1,538",36.176884,-86.67899,House for sale,https://www.zillow.com/homedetails/2430-Maplecrest-Dr-Nashville-TN-37214/41107131_zpid/,06-23-2022_21:37:39
800 28th Ave N,Nashville,TN,37208,"$290,000",2,2,"1,188",36.160347,-86.81865,Multi-family home for sale,https://www.zillow.com/homedetails/800-28th-Ave-N-Nashville-TN-37208/41116093_zpid/,06-23-2022_21:37:39
