address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
10860 SE Schiller St,Portland,OR,97266,"$449,500",2,1,"1,043",45.4867,-122.55172,Active,https://www.zillow.com/homedetails/10860-SE-Schiller-St-Portland-OR-97266/53912666_zpid/,06-23-2022_21:20:34,53912666,6 days on Zillow
13153 SE Flavel St,Portland,OR,97236,"$829,900",3,3,"2,008",45.468872,-122.52788,Active,https://www.zillow.com/homedetails/13153-SE-Flavel-St-Portland-OR-97236/53878047_zpid/,06-23-2022_21:20:34,53878047,3D Homes Icon3D Tour
4412 SW Hamilton Ter,Portland,OR,97239,"$610,000",1,2,"1,242",45.49137,-122.6806,Active,https://www.zillow.com/homedetails/4412-SW-Hamilton-Ter-Portland-OR-97239/53929284_zpid/,06-23-2022_21:20:34,53929284,6 days on Zillow
205 S Montgomery St UNIT 205,Portland,OR,97201,"$399,900",2,2,"1,231",45.509937,-122.674576,Active,https://www.zillow.com/homedetails/205-S-Montgomery-St-UNIT-205-Portland-OR-97201/53943662_zpid/,06-23-2022_21:20:34,53943662,"Price cut: $30,090 (Jun 17)"
9034 NE Wygant St,Portland,OR,97220,"$375,000",3,1,"1,213",45.557747,-122.56935,Active,https://www.zillow.com/homedetails/9034-NE-Wygant-St-Portland-OR-97220/53948430_zpid/,06-23-2022_21:20:34,53948430,3D Homes Icon3D Tour
255 SW Harrison St APT 5F,Portland,OR,97201,"$272,800",1,1,744,45.510765,-122.67944,Active,https://www.zillow.com/homedetails/255-SW-Harrison-St-APT-5F-Portland-OR-97201/68353609_zpid/,06-23-2022_21:20:34,68353609,"Price cut: $7,200 (May 4)"
6108 SW 41st Ave,Portland,OR,97221,"$649,000",3,2,"1,871",45.4797,-122.71923,Active,https://www.zillow.com/homedetails/6108-SW-41st-Ave-Portland-OR-97221/53976055_zpid/,06-23-2022_21:20:34,53976055,Open: Sun. 11:30am-2pm
15376 NW Energia St,Portland,OR,97229,"$785,000",4,3,"2,245",45.56067,-122.836235,Active,https://www.zillow.com/homedetails/15376-NW-Energia-St-Portland-OR-97229/48568632_zpid/,06-23-2022_21:20:34,48568632,Open: Sun. 11am-1pm
5611 SE Raymond St,Portland,OR,97206,"$450,000",2,1,"1,356",45.48686,-122.60541,Active,https://www.zillow.com/homedetails/5611-SE-Raymond-St-Portland-OR-97206/53819839_zpid/,06-23-2022_21:20:34,53819839,Open: Sat. 11am-1pm
8032 SE Yamhill St,Portland,OR,97215,"$450,000",5,2,"2,292",45.515972,-122.58077,Active,https://www.zillow.com/homedetails/8032-SE-Yamhill-St-Portland-OR-97215/53945777_zpid/,06-23-2022_21:20:34,53945777,"Price cut: $25,000 (Jun 23)"
