address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
Plan 1 Plan,,,,"$604,701",3,3,"2,094",35.103046,-80.8346,New construction,https://www.zillow.com/community/kenley/2067254756_zpid/,06-23-2022_21:45:40,2067254756
Decatur Plan,,,,"$410,990",3,3,"1,658",35.237946,-80.64903,New construction,https://www.zillow.com/community/larkhaven-hills-gallery-series/2077773429_zpid/,06-23-2022_21:45:40,2077773429
2116 Stratford Ave,Charlotte,NC,28205,"$1,495,000",5,4,"4,259",,,New construction,https://www.zillow.com/homedetails/2116-Stratford-Ave-Charlotte-NC-28205/2062749339_zpid/,06-23-2022_21:45:40,2062749339
Augusta Plan,,,,"$1,073,436",4,3,"2,789",35.222286,-80.99746,New construction,https://www.zillow.com/community/waterfront-at-vineyards-on-lake-wylie/2066669536_zpid/,06-23-2022_21:45:40,2066669536
10427 Fairway Ridge Rd,Charlotte,NC,28277,"$425,000",4,2,"1,882",35.066795,-80.79649,House for sale,https://www.zillow.com/homedetails/10427-Fairway-Ridge-Rd-Charlotte-NC-28277/6319123_zpid/,06-23-2022_21:45:40,6319123
Brookshire Plan,,,,"$422,990",2,2,"1,754",35.093796,-81.03891,New construction,https://www.zillow.com/community/pinnacle-at-north-reach/2068654905_zpid/,06-23-2022_21:45:40,2068654905
1934 Euclid Ave,Charlotte,NC,28203,"$945,000",3,4,"2,062",35.20855,-80.8573,Townhouse for sale,https://www.zillow.com/homedetails/1934-Euclid-Ave-Charlotte-NC-28203/239885426_zpid/,06-23-2022_21:45:40,239885426
2714 Tranquil Oak Pl,Charlotte,NC,28206,"$390,000",2,3,"1,256",35.256294,-80.83709,Townhouse for sale,https://www.zillow.com/homedetails/2714-Tranquil-Oak-Pl-Charlotte-NC-28206/239885168_zpid/,06-23-2022_21:45:40,239885168
11918 Braid Hills Dr,Charlotte,NC,28277,"$849,900",4,3,"3,300",35.046043,-80.770325,House for sale,https://www.zillow.com/homedetails/11918-Braid-Hills-Dr-Charlotte-NC-28277/6327825_zpid/,06-23-2022_21:45:40,6327825
1908 Pegram St,Charlotte,NC,28205,"$989,500",4,4,"3,020",35.235123,-80.81318,House for sale,https://www.zillow.com/homedetails/1908-Pegram-St-Charlotte-NC-28205/6188408_zpid/,06-23-2022_21:45:40,6188408
2721 Watson Dr,Charlotte,NC,28208,"$150,000",,,,35.21665,-80.8849,Lot / Land for sale,https://www.zillow.com/homedetails/2721-Watson-Dr-Charlotte-NC-28208/6219333_zpid/,06-23-2022_21:45:40,6219333
Grand Bahama Plan,,,,"$381,990",3,2,"1,338",35.244724,-80.673836,New construction,https://www.zillow.com/community/woodgrove/2079793011_zpid/,06-23-2022_21:45:40,2079793011
15919 Harbor Hill Dr,Charlotte,NC,28273,"$547,500",5,5,"3,382",35.093098,-80.97753,House for sale,https://www.zillow.com/homedetails/15919-Harbor-Hill-Dr-Charlotte-NC-28273/249019922_zpid/,06-23-2022_21:45:40,249019922
