address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
999 SW 1st Ave APT 1412,Miami,FL,33130,"$770,000",2,2,"1,373",25.764952,-80.19461,Condo for sale,162033452,https://www.zillow.com/homedetails/999-SW-1st-Ave-APT-1412-Miami-FL-33130/162033452_zpid/,06-10-2022_19:21:10
770 NE 69th St APT 5G,Miami,FL,33138,"$479,000",,1,"1,042",25.838264,-80.1794,Condo for sale,43829324,https://www.zillow.com/homedetails/770-NE-69th-St-APT-5G-Miami-FL-33138/43829324_zpid/,06-10-2022_19:21:10
540 Brickell Key Dr APT 1726,Miami,FL,33131,"$650,000",2,2,"1,150",25.767958,-80.18388,Condo for sale,43872972,https://www.zillow.com/homedetails/540-Brickell-Key-Dr-APT-1726-Miami-FL-33131/43872972_zpid/,06-10-2022_19:21:10
2427 SW 12th St,Miami,FL,33135,"$1,200,000",4,3,"1,900",25.761873,-80.235306,House for sale,43851896,https://www.zillow.com/homedetails/2427-SW-12th-St-Miami-FL-33135/43851896_zpid/,06-10-2022_19:21:10
1010 Brickell Ave UNIT 3410,Miami,FL,33131,"$439,000",,1,442,25.764013,-80.19226,Condo for sale,123867382,https://www.zillow.com/homedetails/1010-Brickell-Ave-UNIT-3410-Miami-FL-33131/123867382_zpid/,06-10-2022_19:21:10
440 NE 69th St,Miami,FL,33138,"$875,000",-,-,"1,326",25.83865,-80.187256,Multi-family home for sale,43828860,https://www.zillow.com/homedetails/440-NE-69th-St-Miami-FL-33138/43828860_zpid/,06-10-2022_19:21:10
1610 NW 55th Ter,Miami,FL,33142,"$350,000",4,2,"1,258",25.825748,-80.22402,House for sale,43811285,https://www.zillow.com/homedetails/1610-NW-55th-Ter-Miami-FL-33142/43811285_zpid/,06-10-2022_19:21:10
512 NW 19th Ave,Miami,FL,33125,"$498,000",3,2,"1,512",25.778252,-80.22687,House for sale,43838350,https://www.zillow.com/homedetails/512-NW-19th-Ave-Miami-FL-33125/43838350_zpid/,06-10-2022_19:21:10
1040 Biscayne Blvd APT 1905,Miami,FL,33132,"$460,000",1,2,791,25.78467,-80.19018,Condo for sale,82417768,https://www.zillow.com/homedetails/1040-Biscayne-Blvd-APT-1905-Miami-FL-33132/82417768_zpid/,06-10-2022_19:21:10
1425 Brickell Ave APT 57A,Miami,FL,33131,"$1,950,000",2,2,"1,579",25.759037,-80.191956,Condo for sale,63614980,https://www.zillow.com/homedetails/1425-Brickell-Ave-APT-57A-Miami-FL-33131/63614980_zpid/,06-10-2022_19:21:10
6030 N Bayshore Dr,Miami,FL,33137,"$3,500,000",-,-,"3,296",25.832514,-80.182045,Multi-family home for sale,2130496561,https://www.zillow.com/homedetails/6030-N-Bayshore-Dr-Miami-FL-33137/2130496561_zpid/,06-10-2022_19:21:10
