address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
Indalo Plan,,,,"$325,000",3,2,"1,690",35.306427,-97.54202,New construction,https://www.zillow.com/community/springs-at-native-plains/2065682977_zpid/,06-23-2022_21:41:29,2065682977,Open: We are open Thurs...
9241 SW 45th Terrace,Oklahoma City,OK,73179,"$269,990",3,2,"1,347",35.41805,-97.67165,New construction,https://www.zillow.com/homedetails/9241-SW-45th-Ter-Oklahoma-City-OK-73179/2063175117_zpid/,06-23-2022_21:41:29,2063175117,Open: Our model homes a...
9249 SW 45th Terrace,Oklahoma City,OK,73179,"$269,990",3,2,"1,347",35.41805,-97.67165,New construction,https://www.zillow.com/homedetails/9249-SW-45th-Ter-Oklahoma-City-OK-73179/2063175186_zpid/,06-23-2022_21:41:29,2063175186,Open: Our model homes a...
9237 SW 45th Terrace,Oklahoma City,OK,73179,"$254,990",3,2,"1,257",35.41805,-97.67165,New construction,https://www.zillow.com/homedetails/9237-SW-45th-Ter-Oklahoma-City-OK-73179/2063175523_zpid/,06-23-2022_21:41:29,2063175523,Open: Our model homes a...
9229 SW 45th Terrace,Oklahoma City,OK,73179,"$254,990",3,2,"1,257",35.41805,-97.67165,New construction,https://www.zillow.com/homedetails/9229-SW-45th-Ter-Oklahoma-City-OK-73179/2063175622_zpid/,06-23-2022_21:41:29,2063175622,Open: Our model homes a...
9213 SW 45th Terrace,Oklahoma City,OK,73179,"$254,990",3,2,"1,257",35.41805,-97.67165,New construction,https://www.zillow.com/homedetails/9213-SW-45th-Ter-Oklahoma-City-OK-73179/2063175852_zpid/,06-23-2022_21:41:29,2063175852,Open: Our model homes a...
8617 NW 77th Place,Oklahoma City,OK,73132,"$439,990",4,4,"2,535",35.54979,-97.66278,New construction,https://www.zillow.com/homedetails/8617-NW-77th-Pl-Oklahoma-City-OK-73132/2063200011_zpid/,06-23-2022_21:41:29,2063200011,Open: Sat. 11am-6pm
8501 NW 77th Street,Oklahoma City,OK,73132,"$320,490",3,2,"1,722",35.54979,-97.66278,New construction,https://www.zillow.com/homedetails/8501-NW-77th-St-Oklahoma-City-OK-73132/2067977115_zpid/,06-23-2022_21:41:29,2067977115,Open: Sat. 11am-6pm
8517 NW 77th Street,Oklahoma City,OK,73132,"$364,990",4,3,"2,030",35.54979,-97.66278,New construction,https://www.zillow.com/homedetails/8517-NW-77th-St-Oklahoma-City-OK-73132/2067976705_zpid/,06-23-2022_21:41:29,2067976705,Open: Sat. 11am-6pm
12808 Lorien Way,Oklahoma City,OK,73170,"$798,000",4,4,"4,875",35.340855,-97.55824,House for sale,https://www.zillow.com/homedetails/12808-Lorien-Way-Oklahoma-City-OK-73170/69085276_zpid/,06-23-2022_21:41:29,69085276,Play video iconVideo Walkthrough
Maverick Plan,,,,"$340,000",3,2,"2,000",35.306427,-97.54202,New construction,https://www.zillow.com/community/springs-at-native-plains/2077477049_zpid/,06-23-2022_21:41:29,2077477049,Open: We are open Thurs...
9821 Rozell Drive,Oklahoma City,OK,73131,"$299,000",3,2,"1,525",35.57051,-97.47531,House for sale,https://www.zillow.com/homedetails/9821-Rozell-Dr-Oklahoma-City-OK-73131/21952851_zpid/,06-23-2022_21:41:29,21952851,"Price cut: $26,000 (Jun 4)"
1316 SW 89 Street,Oklahoma City,OK,73159,"$265,000",3,2,"1,764",35.376785,-97.53982,House for sale,https://www.zillow.com/homedetails/1316-SW-89th-St-Oklahoma-City-OK-73159/21758588_zpid/,06-23-2022_21:41:29,21758588,"Price cut: $35,000 (May 28)"
4205 NW 56th Terrace,Oklahoma City,OK,73112,"$244,900",3,2,"1,688",35.528095,-97.59422,House for sale,https://www.zillow.com/homedetails/4205-NW-56th-Ter-Oklahoma-City-OK-73112/21975805_zpid/,06-23-2022_21:41:29,21975805,"Price cut: $8,300 (May 27)"
