address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
4804 Georgia Ave NW UNIT 102,Washington,DC,20011,"$344,900",1,1,519,38.948696,-77.027336,New construction,2063154023,https://www.zillow.com/homedetails/4804-Georgia-Ave-NW-UNIT-102-Washington-DC-20011/2063154023_zpid/,06-10-2022_19:45:18
842 Xenia St SE,Washington,DC,20032,"$465,000",3,3,"1,152",38.833233,-76.99284,Townhouse for sale,528709,https://www.zillow.com/homedetails/842-Xenia-St-SE-Washington-DC-20032/528709_zpid/,06-10-2022_19:45:18
156 Darrington St SW,Washington,DC,20032,"$479,900",3,2,928,38.826733,-77.01157,House for sale,529847,https://www.zillow.com/homedetails/156-Darrington-St-SW-Washington-DC-20032/529847_zpid/,06-10-2022_19:45:18
631 D St NW APT 636,Washington,DC,20004,"$479,999",1,1,740,38.895504,-77.0213,Condo for sale,68080485,https://www.zillow.com/homedetails/631-D-St-NW-APT-636-Washington-DC-20004/68080485_zpid/,06-10-2022_19:45:18
1111 25th St NW APT 807,Washington,DC,20037,"$627,000",1,1,"1,016",38.90456,-77.053116,Condo for sale,68082771,https://www.zillow.com/homedetails/1111-25th-St-NW-APT-807-Washington-DC-20037/68082771_zpid/,06-10-2022_19:45:18
1133 14th St NW APT 305,Washington,DC,20005,"$299,800",,1,433,38.9048,-77.03169,Condo for sale,71739050,https://www.zillow.com/homedetails/1133-14th-St-NW-APT-305-Washington-DC-20005/71739050_zpid/,06-10-2022_19:45:18
811 4th St NW UNIT 901,Washington,DC,20001,"$459,900",1,1,720,38.901184,-77.01593,Condo for sale,82298560,https://www.zillow.com/homedetails/811-4th-St-NW-UNIT-901-Washington-DC-20001/82298560_zpid/,06-10-2022_19:45:18
925 H St NW APT 506,Washington,DC,20001,"$850,000",2,2,"1,033",38.89995,-77.02445,Condo for sale,121341543,https://www.zillow.com/homedetails/925-H-St-NW-APT-506-Washington-DC-20001/121341543_zpid/,06-10-2022_19:45:18
1733 1st St NW UNIT 1,Washington,DC,20001,"$999,000",3,4,"1,550",38.913624,-77.011826,Townhouse for sale,2063177378,https://www.zillow.com/homedetails/1733-1st-St-NW-UNIT-1-Washington-DC-20001/2063177378_zpid/,06-10-2022_19:45:18
1733 1st St NW UNIT 2,Washington,DC,20001,"$1,150,000",3,4,"1,350",38.913624,-77.011826,Townhouse for sale,2063177450,https://www.zillow.com/homedetails/1733-1st-St-NW-UNIT-2-Washington-DC-20001/2063177450_zpid/,06-10-2022_19:45:18
912 F St NW APT 706,Washington,DC,20004,"$1,100,000",2,3,"1,676",38.897015,-77.02471,Condo for sale,71739719,https://www.zillow.com/homedetails/912-F-St-NW-APT-706-Washington-DC-20004/71739719_zpid/,06-10-2022_19:45:18
4311-4345 Massachusetts Ave NW UNIT 4311,Washington,DC,20016,"$720,000",2,3,"1,184",38.93698,-77.08394,Condo for sale,2063196193,https://www.zillow.com/homedetails/4311-4345-Massachusetts-Ave-NW-UNIT-4311-Washington-DC-20016/2063196193_zpid/,06-10-2022_19:45:18
1613 Harvard St NW APT 301,Washington,DC,20009,"$675,000",2,1,"1,367",38.92733,-77.03735,Condo for sale,103865994,https://www.zillow.com/homedetails/1613-Harvard-St-NW-APT-301-Washington-DC-20009/103865994_zpid/,06-10-2022_19:45:18
3517 13th St NW APT 1,Washington,DC,20010,"$335,000",1,1,556,38.933193,-77.02939,Condo for sale,108265165,https://www.zillow.com/homedetails/3517-13th-St-NW-APT-1-Washington-DC-20010/108265165_zpid/,06-10-2022_19:45:18
447 Ridge St NW #2,Washington,DC,20001,"$929,000",2,3,"1,730",38.90668,-77.017715,Condo for sale,121148668,https://www.zillow.com/homedetails/447-Ridge-St-NW-2-Washington-DC-20001/121148668_zpid/,06-10-2022_19:45:18
95 Waltman Pl NE,Washington,DC,20011,"$769,990",4,4,"1,944",38.96311,-77.006165,Townhouse for sale,121342239,https://www.zillow.com/homedetails/95-Waltman-Pl-NE-Washington-DC-20011/121342239_zpid/,06-10-2022_19:45:18
655 16th St NE,Washington,DC,20002,"$1,143,279",5,5,"3,664",38.898357,-76.98165,Townhouse for sale,124230734,https://www.zillow.com/homedetails/655-16th-St-NE-Washington-DC-20002/124230734_zpid/,06-10-2022_19:45:18
4311 Massachusetts Ave NW #4311-4345,Washington,DC,20016,"$720,000",2,3,"1,184",38.93682,-77.083885,Townhouse for sale,2063197769,https://www.zillow.com/homedetails/4311-Massachusetts-Ave-NW-4311-4345-Washington-DC-20016/2063197769_zpid/,06-10-2022_19:45:18
1014 1/2 17th Pl NE APT 6,Washington,DC,20002,"$315,000",1,1,--,38.903023,-76.98038,New construction,2063206312,https://www.zillow.com/homedetails/1014-1-2-17th-Pl-NE-APT-6-Washington-DC-20002/2063206312_zpid/,06-10-2022_19:45:18
