address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
8109 Russell Creek Ct,Las Vegas,NV,89139,"$640,000",5,3,"2,643",36.041767,-115.22531,House for sale,240162987,https://www.zillow.com/homedetails/8109-Russell-Creek-Ct-Las-Vegas-NV-89139/240162987_zpid/,06-10-2022_19:30:32
3125 Port Side Dr,Las Vegas,NV,89117,"$659,000",4,3,"3,031",36.134342,-115.2932,House for sale,7115473,https://www.zillow.com/homedetails/3125-Port-Side-Dr-Las-Vegas-NV-89117/7115473_zpid/,06-10-2022_19:30:32
Jasper Plan 1 Plan,,,,"$465,990",3,2,"1,715",36.317245,-115.31113,New construction,2066624743,https://www.zillow.com/community/ridgeview-at-skye-canyon/2066624743_zpid/,06-10-2022_19:30:32
3940 Syracuse Dr,Las Vegas,NV,89121,"$429,000",3,2,"1,620",36.103893,-115.08639,House for sale,7061575,https://www.zillow.com/homedetails/3940-Syracuse-Dr-Las-Vegas-NV-89121/7061575_zpid/,06-10-2022_19:30:32
3936 Sheltering Pines St,Las Vegas,NV,89115,"$385,000",4,3,"1,770",36.231113,-115.0914,House for sale,7018557,https://www.zillow.com/homedetails/3936-Sheltering-Pines-St-Las-Vegas-NV-89115/7018557_zpid/,06-10-2022_19:30:32
8244 Cupertino Heights Way,Las Vegas,NV,89178,"$780,000",4,4,"3,919",36.007687,-115.27225,House for sale,68655690,https://www.zillow.com/homedetails/8244-Cupertino-Heights-Way-Las-Vegas-NV-89178/68655690_zpid/,06-10-2022_19:30:32
9839 Berkley Brook Ct,Las Vegas,NV,89141,"$636,232",4,3,"2,704",36.117126,-115.238716,New construction,337614290,https://www.zillow.com/homedetails/9839-Berkley-Brook-Ct-Las-Vegas-NV-89141/337614290_zpid/,06-10-2022_19:30:32
4144 Moorcroft St,Las Vegas,NV,89147,"$505,000",3,3,"1,749",36.113857,-115.259575,House for sale,7136352,https://www.zillow.com/homedetails/4144-Moorcroft-St-Las-Vegas-NV-89147/7136352_zpid/,06-10-2022_19:30:32
Stella Plan,,,,"$622,880",3,2,"2,191",36.277794,-115.334915,New construction,2066783155,https://www.zillow.com/community/talvona-at-skye-hills/2066783155_zpid/,06-10-2022_19:30:32
12005 Cielo Amber Ln,Las Vegas,NV,89138,"$749,900",5,4,"2,552",36.16398,-115.35466,House for sale,66832205,https://www.zillow.com/homedetails/12005-Cielo-Amber-Ln-Las-Vegas-NV-89138/66832205_zpid/,06-10-2022_19:30:32
4504 Stewart Ave,Las Vegas,NV,89110,"$274,900",3,2,"1,260",36.166027,-115.076965,House for sale,7038293,https://www.zillow.com/homedetails/4504-Stewart-Ave-Las-Vegas-NV-89110/7038293_zpid/,06-10-2022_19:30:32
12372 Middle Creek St,Las Vegas,NV,89138,"$900,000",3,3,"2,260",36.158764,-115.367424,House for sale,141738942,https://www.zillow.com/homedetails/12372-Middle-Creek-St-Las-Vegas-NV-89138/141738942_zpid/,06-10-2022_19:30:32
