address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
114 Strathmore Rd APT 402,Brighton,MA,02135,"$528,000",2,1,846,42.338963,-71.15156,Condo for sale,59094001,https://www.zillow.com/homedetails/114-Strathmore-Rd-APT-402-Brighton-MA-02135/59094001_zpid/,06-10-2022_19:28:53
1 Odonnell Sq,Boston,MA,02122,"$799,000",4,3,"2,506",42.290104,-71.048096,House for sale,59116676,https://www.zillow.com/homedetails/1-Odonnell-Sq-Boston-MA-02122/59116676_zpid/,06-10-2022_19:28:53
1313 Washington Street Pl #L113,Hyde Park,MA,02136,"$175,000",,-,--,42.24368,-71.12266,Condo for sale,2063134969,https://www.zillow.com/homedetails/1313-Washington-Street-Pl-L113-Hyde-Park-MA-02136/2063134969_zpid/,06-10-2022_19:28:53
546 Columbus Ave #2,Boston,MA,02118,"$3,999,000",4,4,"2,850",42.341316,-71.08045,Townhouse for sale,59212618,https://www.zillow.com/homedetails/546-Columbus-Ave-2-Boston-MA-02118/59212618_zpid/,06-10-2022_19:28:53
100 Shawmut Ave #U,Boston,MA,02118,"$6,536,900",4,4,"3,021",,,Condo for sale,2071533706,https://www.zillow.com/homedetails/100-Shawmut-Ave-U-Boston-MA-02118/2071533706_zpid/,06-10-2022_19:28:53
103 Rutherford Ave #1,Charlestown,MA,02129,"$739,000",2,1,892,42.373745,-71.06451,Townhouse for sale,59100052,https://www.zillow.com/homedetails/103-Rutherford-Ave-1-Charlestown-MA-02129/59100052_zpid/,06-10-2022_19:28:53
10 Charlesgate E #2,Boston,MA,02115,"$649,000",1,1,623,,,Condo for sale,2063633747,https://www.zillow.com/homedetails/10-Charlesgate-E-2-Boston-MA-02115/2063633747_zpid/,06-10-2022_19:28:53
846 E 5th St #1,South Boston,MA,02127,"$924,900",2,2,"1,124",42.334328,-71.026405,Condo for sale,63531080,https://www.zillow.com/homedetails/846-E-5th-St-1-South-Boston-MA-02127/63531080_zpid/,06-10-2022_19:28:53
3305 Washington St #402,Jamaica Plain,MA,02130,"$999,900",2,2,"1,188",42.310287,-71.1037,Condo for sale,2063490319,https://www.zillow.com/homedetails/3305-Washington-St-402-Jamaica-Plain-MA-02130/2063490319_zpid/,06-10-2022_19:28:53
3305 Washington St #201,Jamaica Plain,MA,02130,"$899,900",2,2,"1,197",42.310287,-71.1037,Condo for sale,2063490334,https://www.zillow.com/homedetails/3305-Washington-St-201-Jamaica-Plain-MA-02130/2063490334_zpid/,06-10-2022_19:28:53
9 Upton St #2,Boston,MA,02118,"$1,025,000",2,1,765,42.342045,-71.07153,Townhouse for sale,67094757,https://www.zillow.com/homedetails/9-Upton-St-2-Boston-MA-02118/67094757_zpid/,06-10-2022_19:28:53
20 Salman St,West Roxbury,MA,02132,"$1,299,000",6,4,"3,583",42.26595,-71.16544,House for sale,59160570,https://www.zillow.com/homedetails/20-Salman-St-West-Roxbury-MA-02132/59160570_zpid/,06-10-2022_19:28:53
290 Shawmut Ave #2,Boston,MA,02118,"$1,785,000",3,2,"1,363",42.34269,-71.06933,Condo for sale,59211004,https://www.zillow.com/homedetails/290-Shawmut-Ave-2-Boston-MA-02118/59211004_zpid/,06-10-2022_19:28:53
150 Orleans St UNIT 102,East Boston,MA,02128,"$679,999",2,2,931,42.370518,-71.035934,Condo for sale,59119635,https://www.zillow.com/homedetails/150-Orleans-St-UNIT-102-East-Boston-MA-02128/59119635_zpid/,06-10-2022_19:28:53
1650 Commonwealth Ave #C1,Brighton,MA,02135,"$699,000",,-,"1,546",,,Condo for sale,2063239361,https://www.zillow.com/homedetails/1650-Commonwealth-Ave-C1-Brighton-MA-02135/2063239361_zpid/,06-10-2022_19:28:53
60 Iffley Rd #3,Jamaica Plain,MA,02130,"$625,000",2,1,"1,236",42.312176,-71.098335,Condo for sale,90138506,https://www.zillow.com/homedetails/60-Iffley-Rd-3-Jamaica-Plain-MA-02130/90138506_zpid/,06-10-2022_19:28:53
48 Woodward St,Boston,MA,02127,"$1,800,000",7,4,"3,346",42.33095,-71.0555,Multi-family home for sale,2063241999,https://www.zillow.com/homedetails/48-Woodward-St-Boston-MA-02127/2063241999_zpid/,06-10-2022_19:28:53
453 Massachusetts Ave APT 7,Boston,MA,02118,"$775,000",2,1,760,42.34018,-71.08164,Townhouse for sale,2098925425,https://www.zillow.com/homedetails/453-Massachusetts-Ave-APT-7-Boston-MA-02118/2098925425_zpid/,06-10-2022_19:28:53
17 Buckingham St,Hyde Park,MA,02136,"$669,000",3,2,"1,764",42.241318,-71.13366,House for sale,59128986,https://www.zillow.com/homedetails/17-Buckingham-St-Hyde-Park-MA-02136/59128986_zpid/,06-10-2022_19:28:53
197 8th St PENTHOUSE 32,Charlestown,MA,02129,"$1,899,000",2,3,"1,634",42.373383,-71.05198,Condo for sale,59098605,https://www.zillow.com/homedetails/197-8th-St-PENTHOUSE-32-Charlestown-MA-02129/59098605_zpid/,06-10-2022_19:28:53
50 Liberty Dr UNIT 11C,Boston,MA,02210,"$4,495,000",2,3,"1,807",42.35425,-71.04446,Condo for sale,318226280,https://www.zillow.com/homedetails/50-Liberty-Dr-UNIT-11C-Boston-MA-02210/318226280_zpid/,06-10-2022_19:28:53
10-12 Rockledge St,Roxbury,MA,02119,"$1,420,000",1,5,"3,343",42.326614,-71.08967,Multi-family home for sale,190041287,https://www.zillow.com/homedetails/10-12-Rockledge-St-Roxbury-MA-02119/190041287_zpid/,06-10-2022_19:28:53
290 Commonwealth Ave APT 5,Boston,MA,02115,"$1,995,000",2,2,"1,505",42.34961,-71.08485,Condo for sale,59177091,https://www.zillow.com/homedetails/290-Commonwealth-Ave-APT-5-Boston-MA-02115/59177091_zpid/,06-10-2022_19:28:53
6-6-6A Maynard St,Roslindale,MA,02131,"$839,900",6,4,"2,392",42.275806,-71.12435,Multi-family home for sale,2063018373,https://www.zillow.com/homedetails/6-6-6A-Maynard-St-Roslindale-MA-02131/2063018373_zpid/,06-10-2022_19:28:53
271 Beacon St APT 1,Boston,MA,02116,"$545,000",,1,375,42.353165,-71.07986,Townhouse for sale,59170744,https://www.zillow.com/homedetails/271-Beacon-St-APT-1-Boston-MA-02116/59170744_zpid/,06-10-2022_19:28:53
918 Beacon St APT 3,Boston,MA,02215,"$769,000",2,2,932,42.34665,-71.106445,Townhouse for sale,59171553,https://www.zillow.com/homedetails/918-Beacon-St-APT-3-Boston-MA-02215/59171553_zpid/,06-10-2022_19:28:53
