address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
9703 Cedar Bluff Dr,Houston,TX,77064,"$235,000",3,2,"1,873",29.93866,-95.567986,House for sale,https://www.zillow.com/homedetails/9703-Cedar-Bluff-Dr-Houston-TX-77064/28284430_zpid/,06-23-2022_21:17:09,28284430,"Price cut: $39,900 (Jun 22)"
17935 Sagecroft Dr,Houston,TX,77084,"$309,900",3,2,"1,594",29.849796,-95.674324,House for sale,https://www.zillow.com/homedetails/17935-Sagecroft-Dr-Houston-TX-77084/28397663_zpid/,06-23-2022_21:17:09,28397663,1 day on Zillow
6406 Summer Ridge Dr,Missouri City,TX,77489,"$259,900",3,2,"1,624",29.60216,-95.4814,House for sale,https://www.zillow.com/homedetails/6406-Summer-Ridge-Dr-Missouri-City-TX-77489/27543823_zpid/,06-23-2022_21:17:09,27543823,1 day on Zillow
1045 Memorial Village Dr,Houston,TX,77024,"$650,000",3,3,"2,688",29.78108,-95.53266,Townhouse for sale,https://www.zillow.com/homedetails/1045-Memorial-Village-Dr-Houston-TX-77024/70299328_zpid/,06-23-2022_21:17:09,70299328,1 day on Zillow
14132 Bluebird Ln,Houston,TX,77079,"$795,000",4,4,"3,205",29.767967,-95.593056,House for sale,https://www.zillow.com/homedetails/14132-Bluebird-Ln-Houston-TX-77079/27986358_zpid/,06-23-2022_21:17:09,27986358,3D Homes Icon3D Tour
9633 Habitat St,Houston,TX,77075,"$289,900",3,3,"1,686",29.617777,-95.24367,New construction,https://www.zillow.com/homedetails/9633-Habitat-St-Houston-TX-77075/2065798599_zpid/,06-23-2022_21:17:09,2065798599,1 day on Zillow
1901 W 15th St,Houston,TX,77008,"$595,000",3,3,"1,712",29.797941,-95.41623,House for sale,https://www.zillow.com/homedetails/1901-W-15th-St-Houston-TX-77008/68415885_zpid/,06-23-2022_21:17:09,68415885,1 day on Zillow
7334 England St,Houston,TX,77021,"$189,000",4,2,"1,364",29.68245,-95.36109,House for sale,https://www.zillow.com/homedetails/7334-England-St-Houston-TX-77021/27779913_zpid/,06-23-2022_21:17:09,27779913,1 day on Zillow
9623 Habitat St,Houston,TX,77075,"$289,900",3,3,"1,686",29.617765,-95.24414,New construction,https://www.zillow.com/homedetails/9623-Habitat-St-Houston-TX-77075/2066816905_zpid/,06-23-2022_21:17:09,2066816905,1 day on Zillow
115 Paul Revere Dr,Houston,TX,77024,"$1,450,000",,,,29.76134,-95.54965,Lot / Land for sale,https://www.zillow.com/homedetails/115-Paul-Revere-Dr-Houston-TX-77024/28018415_zpid/,06-23-2022_21:17:09,28018415,1 day on Zillow
2510 Maxroy St,Houston,TX,77007,"$429,950",3,4,"2,260",29.781466,-95.43102,Townhouse for sale,https://www.zillow.com/homedetails/2510-Maxroy-St-Houston-TX-77007/112081849_zpid/,06-23-2022_21:17:09,112081849,1 day on Zillow
614 Fargo St #614,Houston,TX,77006,"$309,000",2,3,"1,122",29.749159,-95.38848,Condo for sale,https://www.zillow.com/homedetails/614-Fargo-St-614-Houston-TX-77006/28481660_zpid/,06-23-2022_21:17:09,28481660,1 day on Zillow
5435 Kiam St,Houston,TX,77007,"$449,999",3,4,"1,857",29.781136,-95.41986,Townhouse for sale,https://www.zillow.com/homedetails/5435-Kiam-St-Houston-TX-77007/27747382_zpid/,06-23-2022_21:17:09,27747382,1 day on Zillow
1714 Ashland St #106,Houston,TX,77008,"$1,100,000",2,2,"2,248",29.801586,-95.40315,Condo for sale,https://www.zillow.com/homedetails/1714-Ashland-St-106-Houston-TX-77008/161437108_zpid/,06-23-2022_21:17:09,161437108,Open: Sat. 12-2pm
267 Shekel Ln,Houston,TX,77015,"$279,900",3,2,"1,802",29.798359,-95.17548,House for sale,https://www.zillow.com/homedetails/267-Shekel-Ln-Houston-TX-77015/28230025_zpid/,06-23-2022_21:17:09,28230025,2 days on Zillow
0 Glen Manor Dr,Houston,TX,77028,"$77,700",,,"8,699",29.841566,-95.298615,Lot / Land for sale,https://www.zillow.com/homedetails/0-Glen-Manor-Dr-Houston-TX-77028/2062683313_zpid/,06-23-2022_21:17:09,2062683313,2 days on Zillow
8234 Glen Valley Dr,Houston,TX,77061,"$332,000",4,3,"2,931",29.672705,-95.27546,House for sale,https://www.zillow.com/homedetails/8234-Glen-Valley-Dr-Houston-TX-77061/27997038_zpid/,06-23-2022_21:17:09,27997038,"Price cut: $4,000 (Jun 2)"
1322 Martin St,Houston,TX,77018,"$1,299,000",4,4,"3,625",29.83474,-95.43365,New construction,https://www.zillow.com/homedetails/1322-Martin-St-Houston-TX-77018/27911082_zpid/,06-23-2022_21:17:09,27911082,2 days on Zillow
4217 Dabney St,Houston,TX,77026,"$79,000",,,"10,202",29.799173,-95.31084,Lot / Land for sale,https://www.zillow.com/homedetails/4217-Dabney-St-Houston-TX-77026/27888506_zpid/,06-23-2022_21:17:09,27888506,2 days on Zillow
6301 Schuler St,Houston,TX,77007,"$549,000",3,4,"1,985",29.771795,-95.42484,Townhouse for sale,https://www.zillow.com/homedetails/6301-Schuler-St-Houston-TX-77007/27819888_zpid/,06-23-2022_21:17:09,27819888,2 days on Zillow
Chopin Plan,,,,"$692,990",4,4,"3,790",30.0855,-95.1831,New construction,https://www.zillow.com/community/kingwood-royal-brook-classic-collection/2063275716_zpid/,06-23-2022_21:17:09,2063275716,Open: Mon 12-7 ; Tue 10...
Montecito Plan,,,,"$357,990",4,4,"2,285",30.0855,-95.1831,New construction,https://www.zillow.com/community/kingwood-royal-brook-avante-collection/2066909095_zpid/,06-23-2022_21:17:09,2066909095,Open: Mon 10-7 ; Tue 10...
5423 Heron Dr,Houston,TX,77033,"$205,000",3,2,"1,238",29.659363,-95.341995,House for sale,https://www.zillow.com/homedetails/5423-Heron-Dr-Houston-TX-77033/28000025_zpid/,06-23-2022_21:17:09,28000025,2 days on Zillow
7820 Comal St,Houston,TX,77051,"$349,900",4,4,"3,220",29.67553,-95.37021,Multi-family home for sale,https://www.zillow.com/homedetails/7820-Comal-St-Houston-TX-77051/2106306184_zpid/,06-23-2022_21:17:09,2106306184,2 days on Zillow
5622 Kiam St #F,Houston,TX,77007,"$544,000",3,4,"2,082",29.781466,-95.42299,House for sale,https://www.zillow.com/homedetails/5622-Kiam-St-F-Houston-TX-77007/243983056_zpid/,06-23-2022_21:17:09,243983056,2 days on Zillow
0 Lavender St,Houston,TX,77016,"$130,000",,,,29.838179,-95.32088,Lot / Land for sale,https://www.zillow.com/homedetails/0-Lavender-St-Houston-TX-77016/97666190_zpid/,06-23-2022_21:17:09,97666190,2 days on Zillow
1907 De Milo Dr,Houston,TX,77018,"$575,000",3,2,"1,755",29.83439,-95.446556,House for sale,https://www.zillow.com/homedetails/1907-De-Milo-Dr-Houston-TX-77018/27912787_zpid/,06-23-2022_21:17:09,27912787,Open: Sat. 12-2pm
10070 Green Valley Ln,Houston,TX,77064,"$259,900",3,2,"1,280",29.914133,-95.56876,House for sale,https://www.zillow.com/homedetails/10070-Green-Valley-Ln-Houston-TX-77064/28427228_zpid/,06-23-2022_21:17:09,28427228,2 days on Zillow
7810 Appleton St,Houston,TX,77022,"$259,900",,,"7,425",29.833221,-95.367836,Lot / Land for sale,https://www.zillow.com/homedetails/7810-Appleton-St-Houston-TX-77022/27896324_zpid/,06-23-2022_21:17:09,27896324,2 days on Zillow
4307 Nenana Dr,Houston,TX,77035,"$455,000",4,2,"2,113",29.669718,-95.44949,House for sale,https://www.zillow.com/homedetails/4307-Nenana-Dr-Houston-TX-77035/28025092_zpid/,06-23-2022_21:17:09,28025092,"Price cut: $40,000 (May 25)"
3927 Cork Dr,Houston,TX,77047,"$275,000",3,3,"1,883",29.625782,-95.35828,House for sale,https://www.zillow.com/homedetails/3927-Cork-Dr-Houston-TX-77047/27973207_zpid/,06-23-2022_21:17:09,27973207,2 days on Zillow
15806 Oakendell Dr,Houston,TX,77084,"$299,000",3,2,"1,844",29.851679,-95.636505,House for sale,https://www.zillow.com/homedetails/15806-Oakendell-Dr-Houston-TX-77084/28214212_zpid/,06-23-2022_21:17:09,28214212,2 days on Zillow
2909 Cleburne St,Houston,TX,77004,"$520,000",4,2,"2,046",29.726196,-95.36462,Multi-family home for sale,https://www.zillow.com/homedetails/2909-Cleburne-St-Houston-TX-77004/27850824_zpid/,06-23-2022_21:17:09,27850824,2 days on Zillow
