address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
2561 W Cullom Ave,Chicago,IL,60618,"$699,500",2,3,--,41.959206,-87.69413,New,3644047,https://www.zillow.com/homedetails/2561-W-Cullom-Ave-Chicago-IL-60618/3644047_zpid/,06-10-2022_19:19:22
7022 S Union Ave,Chicago,IL,60621,"$165,000",5,2,--,41.766308,-87.642334,New,2075752099,https://www.zillow.com/homedetails/7022-S-Union-Ave-Chicago-IL-60621/2075752099_zpid/,06-10-2022_19:19:22
2016 N Bissell St,Chicago,IL,60614,"$1,750,000",8,4,--,41.91867,-87.65243,New,2079043439,https://www.zillow.com/homedetails/2016-N-Bissell-St-Chicago-IL-60614/2079043439_zpid/,06-10-2022_19:19:22
655 W Irving Park Rd APT 3005,Chicago,IL,60613,"$169,900",,1,550,41.954388,-87.64714,New,65560968,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-3005-Chicago-IL-60613/65560968_zpid/,06-10-2022_19:19:22
5207 S Latrobe Ave,Chicago,IL,60638,"$424,900",6,3,"1,707",41.798054,-87.75355,New,3924707,https://www.zillow.com/homedetails/5207-S-Latrobe-Ave-Chicago-IL-60638/3924707_zpid/,06-10-2022_19:19:22
850 N Dewitt Pl APT 9E,Chicago,IL,60611,"$235,000",1,1,--,41.89724,-87.61884,New,3852357,https://www.zillow.com/homedetails/850-N-Dewitt-Pl-APT-9E-Chicago-IL-60611/3852357_zpid/,06-10-2022_19:19:22
11628 S Bishop St,Chicago,IL,60643,"$84,900",3,2,"1,120",41.68218,-87.658226,New,4151090,https://www.zillow.com/homedetails/11628-S-Bishop-St-Chicago-IL-60643/4151090_zpid/,06-10-2022_19:19:22
1257 W Granville Ave APT 1,Chicago,IL,60660,"$314,900",2,2,"1,200",41.994247,-87.662605,New,70459310,https://www.zillow.com/homedetails/1257-W-Granville-Ave-APT-1-Chicago-IL-60660/70459310_zpid/,06-10-2022_19:19:22
4958 W Newport Ave #2W,Chicago,IL,60641,"$217,000",3,2,"1,100",41.943478,-87.75162,New,87715425,https://www.zillow.com/homedetails/4958-W-Newport-Ave-2W-Chicago-IL-60641/87715425_zpid/,06-10-2022_19:19:22
2148 W 19th St,Chicago,IL,60608,"$499,900",6,4,--,41.85605,-87.680336,New,2062919526,https://www.zillow.com/homedetails/2148-W-19th-St-Chicago-IL-60608/2062919526_zpid/,06-10-2022_19:19:22
8 W Monroe St APT 1404,Chicago,IL,60603,"$345,000",2,2,"1,300",41.88095,-87.62815,New,118915043,https://www.zillow.com/homedetails/8-W-Monroe-St-APT-1404-Chicago-IL-60603/118915043_zpid/,06-10-2022_19:19:22
11425 S Hermosa Ave,Chicago,IL,60643,"$12,500",,,"3,485",41.68565,-87.66979,New,159217429,https://www.zillow.com/homedetails/11425-S-Hermosa-Ave-Chicago-IL-60643/159217429_zpid/,06-10-2022_19:19:22
5027 W Nelson St,Chicago,IL,60641,"$424,900",4,2,--,41.935753,-87.75273,New,2062919595,https://www.zillow.com/homedetails/5027-W-Nelson-St-Chicago-IL-60641/2062919595_zpid/,06-10-2022_19:19:22
3550 N Lake Shore Dr APT 304,Chicago,IL,60657,"$229,000",2,1,833,41.947845,-87.64352,New,3715819,https://www.zillow.com/homedetails/3550-N-Lake-Shore-Dr-APT-304-Chicago-IL-60657/3715819_zpid/,06-10-2022_19:19:22
2224 W Madison St UNIT 202,Chicago,IL,60612,"$295,000",2,2,"1,371",41.881435,-87.68259,New,113499512,https://www.zillow.com/homedetails/2224-W-Madison-St-UNIT-202-Chicago-IL-60612/113499512_zpid/,06-10-2022_19:19:22
9645 S Avenue L,Chicago,IL,60617,"$299,000",1,4,--,,,Re-activated,2120599793,https://www.zillow.com/homedetails/9645-S-Avenue-L-Chicago-IL-60617/2120599793_zpid/,06-10-2022_19:19:22
5249 S Mulligan Ave,Chicago,IL,60638,"$548,000",4,3,"2,800",41.7965,-87.780365,New,3920962,https://www.zillow.com/homedetails/5249-S-Mulligan-Ave-Chicago-IL-60638/3920962_zpid/,06-10-2022_19:19:22
9204 S Colfax Ave,Chicago,IL,60617,"$299,900",4,2,"2,280",41.727894,-87.56123,New,4167152,https://www.zillow.com/homedetails/9204-S-Colfax-Ave-Chicago-IL-60617/4167152_zpid/,06-10-2022_19:19:22
2305 W Wabansia Ave APT 2,Chicago,IL,60647,"$540,000",2,2,--,41.91234,-87.68513,New,70462072,https://www.zillow.com/homedetails/2305-W-Wabansia-Ave-APT-2-Chicago-IL-60647/70462072_zpid/,06-10-2022_19:19:22
2740 W 18th St,Chicago,IL,60608,"$375,000",9,3,--,41.857677,-87.69483,New,2071631424,https://www.zillow.com/homedetails/2740-W-18th-St-Chicago-IL-60608/2071631424_zpid/,06-10-2022_19:19:22
6050 W Lawrence Ave,Chicago,IL,60630,"$439,900",4,2,"1,068",41.96788,-87.77924,New,3650291,https://www.zillow.com/homedetails/6050-W-Lawrence-Ave-Chicago-IL-60630/3650291_zpid/,06-10-2022_19:19:22
5203 W Olive Ave,Chicago,IL,60646,"$559,900",4,3,"2,500",41.983807,-87.759415,New,123561114,https://www.zillow.com/homedetails/5203-W-Olive-Ave-Chicago-IL-60646/123561114_zpid/,06-10-2022_19:19:22
235 W Van Buren St UNIT 1919,Chicago,IL,60607,"$325,000",2,2,"1,048",41.876556,-87.63479,New,2075744904,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-1919-Chicago-IL-60607/2075744904_zpid/,06-10-2022_19:19:22
660 W Wayman St UNIT 507B,Chicago,IL,60661,"$324,900",2,2,800,,,New,2075715672,https://www.zillow.com/homedetails/660-W-Wayman-St-UNIT-507B-Chicago-IL-60661/2075715672_zpid/,06-10-2022_19:19:22
1148 W Diversey Pkwy APT 2,Chicago,IL,60614,"$475,000",2,2,--,41.93283,-87.65775,New,63695635,https://www.zillow.com/homedetails/1148-W-Diversey-Pkwy-APT-2-Chicago-IL-60614/63695635_zpid/,06-10-2022_19:19:22
1756 W Erie St,Chicago,IL,60622,"$1,250,000",4,4,"4,200",41.893524,-87.67184,New,70465596,https://www.zillow.com/homedetails/1756-W-Erie-St-Chicago-IL-60622/70465596_zpid/,06-10-2022_19:19:22
829 N Latrobe Ave,Chicago,IL,60651,"$499,900",5,2,--,41.89585,-87.75649,New,2062922878,https://www.zillow.com/homedetails/829-N-Latrobe-Ave-Chicago-IL-60651/2062922878_zpid/,06-10-2022_19:19:22
7427 N Ridge Blvd APT 2F,Chicago,IL,60645,"$190,000",2,1,"1,050",42.01684,-87.6839,Active,2075483981,https://www.zillow.com/homedetails/7427-N-Ridge-Blvd-APT-2F-Chicago-IL-60645/2075483981_zpid/,06-10-2022_19:19:22
2909 N Sheridan Rd APT 1012,Chicago,IL,60657,"$170,000",1,1,--,41.9347,-87.63885,New,3722891,https://www.zillow.com/homedetails/2909-N-Sheridan-Rd-APT-1012-Chicago-IL-60657/3722891_zpid/,06-10-2022_19:19:22
233 E Erie St APT 2308,Chicago,IL,60611,"$149,000",1,1,--,41.89397,-87.621475,New,3866823,https://www.zillow.com/homedetails/233-E-Erie-St-APT-2308-Chicago-IL-60611/3866823_zpid/,06-10-2022_19:19:22
1647 N Mozart St,Chicago,IL,60647,"$649,900",3,2,--,41.91168,-87.697754,New,2062922950,https://www.zillow.com/homedetails/1647-N-Mozart-St-Chicago-IL-60647/2062922950_zpid/,06-10-2022_19:19:22
8025 S Mozart St,Chicago,IL,60652,"$279,900",4,3,"1,200",41.74737,-87.69342,New,3977474,https://www.zillow.com/homedetails/8025-S-Mozart-St-Chicago-IL-60652/3977474_zpid/,06-10-2022_19:19:22
865 N Marshfield Ave #1,Chicago,IL,60622,"$715,000",3,3,"2,400",41.897903,-87.66822,New,119097471,https://www.zillow.com/homedetails/865-N-Marshfield-Ave-1-Chicago-IL-60622/119097471_zpid/,06-10-2022_19:19:22
1738 W 17th St #1,Chicago,IL,60608,"$389,000",3,2,--,41.85866,-87.669785,New,2062924368,https://www.zillow.com/homedetails/1738-W-17th-St-1-Chicago-IL-60608/2062924368_zpid/,06-10-2022_19:19:22
6949 S Justine St,Chicago,IL,60636,"$230,000",5,2,--,41.76717,-87.662315,New,2099893567,https://www.zillow.com/homedetails/6949-S-Justine-St-Chicago-IL-60636/2099893567_zpid/,06-10-2022_19:19:22
