address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
4935 Pine St,Philadelphia,PA,19143,"$650,000",3,3,"1,850",39.953163,-75.22147,Townhouse for sale,https://www.zillow.com/homedetails/4935-Pine-St-Philadelphia-PA-19143/10540224_zpid/,06-23-2022_21:18:45,10540224,Open: Sat. 10am-12pm
5011 Hawthorne St,Philadelphia,PA,19124,"$74,999",3,1,"1,252",40.018585,-75.07651,Townhouse for sale,https://www.zillow.com/homedetails/5011-Hawthorne-St-Philadelphia-PA-19124/10559945_zpid/,06-23-2022_21:18:45,10559945,6 days on Zillow
4334 Fleming St,Philadelphia,PA,19128,"$300,000",3,2,"1,125",40.028034,-75.21938,House for sale,https://www.zillow.com/homedetails/4334-Fleming-St-Philadelphia-PA-19128/10268264_zpid/,06-23-2022_21:18:45,10268264,7 days on Zillow
439 Pensdale St,Philadelphia,PA,19128,"$325,000",4,2,"1,331",40.027325,-75.21252,Townhouse for sale,https://www.zillow.com/homedetails/439-Pensdale-St-Philadelphia-PA-19128/10270316_zpid/,06-23-2022_21:18:45,10270316,Open: Sat. 12-1pm
651 Hermitage St,Philadelphia,PA,19128,"$285,000",3,1,"1,520",40.03882,-75.213524,Townhouse for sale,https://www.zillow.com/homedetails/651-Hermitage-St-Philadelphia-PA-19128/10275745_zpid/,06-23-2022_21:18:45,10275745,7 days on Zillow
718 E Upsal St,Philadelphia,PA,19119,"$325,000",4,4,"1,888",40.060455,-75.17248,House for sale,https://www.zillow.com/homedetails/718-E-Upsal-St-Philadelphia-PA-19119/10279712_zpid/,06-23-2022_21:18:45,10279712,Open: Fri. 5-7pm
4727 Griscom St,Philadelphia,PA,19124,"$155,000",3,1,"1,218",40.01751,-75.08407,Townhouse for sale,https://www.zillow.com/homedetails/4727-Griscom-St-Philadelphia-PA-19124/10288521_zpid/,06-23-2022_21:18:45,10288521,7 days on Zillow
5221 Whitaker Ave,Philadelphia,PA,19124,"$189,900",3,2,"1,472",40.02814,-75.10586,Townhouse for sale,https://www.zillow.com/homedetails/5221-Whitaker-Ave-Philadelphia-PA-19124/10289482_zpid/,06-23-2022_21:18:45,10289482,7 days on Zillow
1107 Herbert St,Philadelphia,PA,19124,"$245,000",3,2,"1,152",40.017002,-75.094315,Townhouse for sale,https://www.zillow.com/homedetails/1107-Herbert-St-Philadelphia-PA-19124/10290403_zpid/,06-23-2022_21:18:45,10290403,7 days on Zillow
1118 Foulkrod St,Philadelphia,PA,19124,"$300,000",3,-,"1,824",40.021618,-75.089775,Multi-family home for sale,https://www.zillow.com/homedetails/1118-Foulkrod-St-Philadelphia-PA-19124/10290452_zpid/,06-23-2022_21:18:45,10290452,7 days on Zillow
623 N Shedwick St,Philadelphia,PA,19104,"$85,000",2,1,684,39.965847,-75.19252,Townhouse for sale,https://www.zillow.com/homedetails/623-N-Shedwick-St-Philadelphia-PA-19104/10292887_zpid/,06-23-2022_21:18:45,10292887,7 days on Zillow
124 W Rittenhouse St,Philadelphia,PA,19144,"$550,000",4,3,"2,250",40.035717,-75.178024,House for sale,https://www.zillow.com/homedetails/124-W-Rittenhouse-St-Philadelphia-PA-19144/10538951_zpid/,06-23-2022_21:18:45,10538951,Open: Sun. 2-4pm
5250 Chancellor St,Philadelphia,PA,19139,"$175,000",5,2,"1,350",39.95641,-75.2272,Townhouse for sale,https://www.zillow.com/homedetails/5250-Chancellor-St-Philadelphia-PA-19139/10540818_zpid/,06-23-2022_21:18:45,10540818,7 days on Zillow
5251 Addison St,Philadelphia,PA,19143,"$199,900",3,3,"1,140",39.952843,-75.22781,Townhouse for sale,https://www.zillow.com/homedetails/5251-Addison-St-Philadelphia-PA-19143/10541241_zpid/,06-23-2022_21:18:45,10541241,7 days on Zillow
2113 Lardner St,Philadelphia,PA,19149,"$216,000",3,1,"1,156",40.030766,-75.07079,Townhouse for sale,https://www.zillow.com/homedetails/2113-Lardner-St-Philadelphia-PA-19149/10554510_zpid/,06-23-2022_21:18:45,10554510,7 days on Zillow
